epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,884.407,1.87191,2.04309,1.69802,0.64379,0.61452,0.65277,0.29412,1.73241,1.70985,1.60426,0.0700977,0.00332248,0.00332248
1,54.774,1.87564,2.06361,1.7213,0.61705,0.59121,0.62034,0.25523,1.81144,1.81829,1.67974,0.0700977,0.00332248,0.00332248
2,106.207,1.74113,1.56999,1.51544,0.6591,0.64756,0.66038,0.30118,1.76033,1.58931,1.5504,0.0394685,0.00602659,0.00602659
3,160.356,1.71135,1.47717,1.47371,0.64096,0.69054,0.70842,0.31614,1.81505,1.53746,1.57035,0.00668107,0.00657249,0.00657249
4,213.255,1.68805,1.41026,1.43947,0.68802,0.70296,0.73565,0.3398,1.71536,1.4929,1.51269,0.00352037,0.00352037,0.00352037
5,272.684,1.63268,1.35132,1.41638,0.70287,0.71251,0.75511,0.36361,1.69095,1.39107,1.49041,0.00104537,0.00104537,0.00104537
1,54.4175,1.87564,2.06361,1.7213,0.61705,0.59121,0.62034,0.25523,1.81144,1.81829,1.67974,0.0700977,0.00332248,0.00332248
2,107.437,1.74374,1.56625,1.51403,0.67896,0.65807,0.68876,0.32053,1.76322,1.52476,1.56049,0.0400912,0.00664931,0.00664931
3,162.387,1.73297,1.50426,1.48283,0.63888,0.64374,0.65107,0.29192,1.85846,1.66028,1.58884,0.0100587,0.00995015,0.00995015
4,219.066,1.74897,1.46124,1.47656,0.67008,0.64791,0.67738,0.29151,1.79357,1.54767,1.57132,0.00991232,0.00991232,0.00991232
5,270.553,1.71845,1.41702,1.47104,0.68504,0.66685,0.71535,0.33248,1.79245,1.42938,1.53895,0.00984449,0.00984449,0.00984449
6,321.709,1.70982,1.38893,1.46094,0.69156,0.65903,0.71064,0.32473,1.77428,1.52886,1.55094,0.00975773,0.00975773,0.00975773
7,376.581,1.69506,1.35882,1.4538,0.67566,0.71156,0.72676,0.34395,1.75195,1.43937,1.52075,0.00965239,0.00965239,0.00965239
8,434.468,1.69183,1.34159,1.44473,0.69368,0.65968,0.71721,0.33772,1.74597,1.41313,1.53398,0.00952889,0.00952889,0.00952889
9,485.799,1.67457,1.30561,1.4344,0.68236,0.72493,0.75248,0.36034,1.74482,1.47433,1.51186,0.00938772,0.00938772,0.00938772
10,541.683,1.66482,1.28212,1.42855,0.72038,0.69636,0.74579,0.3486,1.76247,1.36703,1.53638,0.00922942,0.00922942,0.00922942
11,592.361,1.6674,1.27576,1.43087,0.68922,0.66858,0.72831,0.35165,1.74659,1.3697,1.52415,0.00905463,0.00905463,0.00905463
12,642.585,1.6571,1.26197,1.42798,0.69271,0.68386,0.73502,0.33342,1.78927,1.28315,1.5509,0.00886404,0.00886404,0.00886404
